group_ID,site,week_time,date,weather,time_block,hours_spent_on_site,start_time,activity,sex,age,dogs,dog_size,observer,confirmed,group_size,people_per_hour
LL_JU12_2pm_41,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,3,113
LL_JU12_2pm_41,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,3,113
LL_JU12_2pm_44,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,4,113
LL_JU12_2pm_44,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,4,113
LL_JU12_2pm_45,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,3,113
LL_JU12_2pm_46,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,1,113
LL_JU12_2pm_47,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,C,0,NA,NL,Y,1,113
LL_JU12_2pm_48,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,2,113
LL_JU12_2pm_49,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,1,113
LL_JU12_2pm_52,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,1,113
LL_JU12_2pm_53,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,2,113
LL_JU12_2pm_54,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,2,113
LL_JU12_2pm_56,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,1,113
LL_JU12_2pm_57,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,2,113
LL_JU12_2pm_57,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,2,113
LL_JU12_2pm_58,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,2,113
LL_JU12_2pm_59,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,1,S,NL,Y,2,113
LL_JU12_2pm_60,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,2,113
LL_JU12_2pm_61,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,M,A,0,NA,NL,Y,1,113
LL_JU12_2pm_62,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,run,M,A,0,NA,NL,Y,1,113
LL_JU12_2pm_20,LL,WD,07-12-2024,sunny,14:00:00,1,14:00:00,walk,U,C,0,NA,NL,Y,2,113
PP_JU12_8am_1,PP,WD,07-12-2024,sunny,08:00:00,1,08:00:00,wheels,F,A,0,NA,NL,Y,2,170
PP_JU12_8am_2,PP,WD,07-12-2024,sunny,08:00:00,1,08:00:00,run,F,A,0,NA,NL,Y,4,170
PP_JU12_8am_2,PP,WD,07-12-2024,sunny,08:00:00,1,08:00:00,run,F,A,0,NA,NL,Y,4,170
PP_JU12_8am_2,PP,WD,07-12-2024,sunny,08:00:00,1,08:00:00,run,F,A,0,NA,NL,Y,4,170
PP_JU12_8am_3,PP,WD,07-12-2024,sunny,08:00:00,1,08:00:00,wheels,F,A,0,NA,NL,Y,2,170
PP_JU12_8am_9,PP,WD,07-12-2024,sunny,08:00:00,1,08:00:00,wheels,F,A,0,NA,NL,Y,2,170
PP_JU12_8am_9,PP,WD,07-12-2024,sunny,08:00:00,1,08:00:00,wheels,F,A,0,NA,NL,Y,2,170
PP_JU12_8am_17,PP,WD,07-12-2024,sunny,08:00:00,1,08:00:00,walk,F,A,0,NA,NL,Y,1,170
PP_JU12_8am_18,PP,WD,07-12-2024,sunny,08:00:00,1,08:00:00,walk,F,A,0,NA,NL,Y,1,170
PP_JU12_8am_19,PP,WD,07-12-2024,sunny,08:00:00,1,08:00:00,run,F,A,0,NA,NL,Y,1,170
PP_JU12_8am_20,PP,WD,07-12-2024,sunny,08:00:00,1,08:00:00,wheels,F,A,0,NA,NL,Y,2,170
PP_JU12_8am_21,PP,WD,07-12-2024,sunny,08:00:00,1,08:00:00,run,F,A,0,NA,NL,Y,1,170
PP_JU12_8am_22,PP,WD,07-12-2024,sunny,08:00:00,1,08:00:00,walk,F,A,0,NA,NL,Y,2,170
PP_JU12_8am_22,PP,WD,07-12-2024,sunny,08:00:00,1,08:00:00,walk,F,A,0,NA,NL,Y,2,170
PP_JU12_8am_23,PP,WD,07-12-2024,sunny,08:00:00,1,08:00:00,wheels,F,A,0,NA,NL,Y,1,170
PP_JU12_8am_24,PP,WD,07-12-2024,sunny,08:00:00,1,08:00:00,wheels,F,A,0,NA,NL,Y,2,170
PP_JU12_8am_27,PP,WD,07-12-2024,sunny,08:00:00,1,08:00:00,run,F,A,0,NA,NL,Y,3,170
PP_JU12_8am_29,PP,WD,07-12-2024,sunny,08:00:00,1,08:00:00,wheels,F,A,0,NA,NL,Y,2,170
